n,ID,BinaryLogitProbability,SUM_p(y=1),Matriculated,lift
153,1534130,0.849367666,132.9761014,1,1.023022802
154,1619371,0.849111488,133.8252129,1,1.022714246
155,1529412,0.84910078,134.6743137,1,1.02270135
156,1548091,0.848630621,135.5229443,1,1.022135066
157,1680756,0.848630621,136.3715749,1,1.022135066
158,1448229,0.848152429,137.2197274,1,1.021559106
159,1686298,0.848152429,138.0678798,1,1.021559106
160,1664738,0.848152429,138.9160322,1,1.021559106
161,1654247,0.848152429,139.7641847,1,1.021559106
162,1564842,0.847751918,140.6119366,1,1.02107671
163,1287915,0.847560419,141.459497,1,1.020846058
164,1673943,0.847263108,142.3067601,1,1.020487961
165,1657380,0.847263108,143.1540232,0,1.020487961
166,1673631,0.846987581,144.0010108,1,1.020156102
167,1394359,0.846910529,144.8479213,1,1.020063297
168,1684999,0.846792682,145.694714,1,1.019921355
169,1600819,0.846659181,146.5413732,1,1.01976056
170,1675836,0.846371125,147.3877443,1,1.01941361
171,1691515,0.845780111,148.2335244,1,1.018701762
172,1671699,0.845196515,149.0787209,1,1.017998849
173,1641418,0.845136623,149.9238576,1,1.017926711
174,1612578,0.845057973,150.7689155,1,1.017831981
175,1497861,0.845055974,151.6139715,0,1.017829574
176,1666094,0.844767816,152.4587393,0,1.017482501
177,1263487,0.844568557,153.3033079,1,1.017242504
178,1676213,0.84420116,154.147509,1,1.016799992
179,1693123,0.844125108,154.9916341,1,1.016708391
180,1586080,0.843907662,155.8355418,1,1.016446487
181,1691948,0.843338471,156.6788803,1,1.015760924
182,1533428,0.843338471,157.5222188,1,1.015760924
183,1546350,0.843338471,158.3655572,1,1.015760924
184,1683725,0.843338471,159.2088957,1,1.015760924
185,1556580,0.843264094,160.0521598,1,1.01567134
186,1691295,0.843126834,160.8952866,1,1.015506017
187,1596669,0.842600686,161.7378873,1,1.014872297
188,1652185,0.842434751,162.5803221,1,1.014672436
189,1676800,0.842434751,163.4227568,1,1.014672436
190,1342406,0.842305828,164.2650626,1,1.014517155
191,1696116,0.841697674,165.1067603,1,1.013784662
